Time,Vehicle,DT,IT,CT,Type
0,0,0.500,0.500,0.500,Malicious
0,1,0.500,0.250,0.375,Malicious
0,2,0.500,1.000,0.750,Malicious
0,3,0.500,1.000,0.750,Malicious
0,4,0.500,0.250,0.375,Malicious
0,5,0.500,0.750,0.625,Normal
0,6,0.500,0.500,0.500,Normal
0,7,0.500,0.500,0.500,Normal
0,8,0.500,0.750,0.625,Normal
0,9,0.501,0.750,0.625,Normal
0,10,0.500,1.000,0.750,Normal
0,11,0.500,0.750,0.625,Normal
0,12,0.500,0.875,0.688,Normal
0,13,0.500,0.750,0.625,Normal
0,14,0.500,1.000,0.750,Normal
0,15,0.500,0.500,0.500,Normal
0,16,0.501,1.000,0.750,Normal
0,17,0.500,0.667,0.583,Normal
0,18,0.500,0.750,0.625,Normal
0,19,0.501,0.531,0.516,Normal
1,0,0.499,0.000,0.249,Malicious
1,1,0.499,0.000,0.249,Malicious
1,2,0.499,0.500,0.499,Malicious
1,3,0.499,0.500,0.499,Malicious
1,4,0.499,0.250,0.374,Malicious
1,5,0.501,1.000,0.750,Normal
1,6,0.501,0.500,0.501,Normal
1,7,0.502,0.500,0.501,Normal
1,8,0.500,0.750,0.625,Normal
1,9,0.502,0.750,0.626,Normal
1,10,0.500,1.000,0.750,Normal
1,11,0.500,0.750,0.625,Normal
1,12,0.501,0.875,0.688,Normal
1,13,0.501,0.833,0.667,Normal
1,14,0.501,0.833,0.667,Normal
1,15,0.500,0.750,0.625,Normal
1,16,0.501,0.500,0.500,Normal
1,17,0.501,1.000,0.750,Normal
1,18,0.500,0.750,0.625,Normal
1,19,0.501,0.625,0.563,Normal
2,0,0.500,1.000,0.750,Malicious
2,1,0.499,1.000,0.749,Malicious
2,2,0.498,0.500,0.499,Malicious
2,3,0.500,1.000,0.750,Malicious
2,4,0.498,0.500,0.499,Malicious
2,5,0.501,1.000,0.750,Normal
2,6,0.501,0.500,0.501,Normal
2,7,0.502,1.000,0.751,Normal
2,8,0.501,0.750,0.625,Normal
2,9,0.502,1.000,0.751,Normal
2,10,0.501,1.000,0.751,Normal
2,11,0.501,1.000,0.750,Normal
2,12,0.501,0.833,0.667,Normal
2,13,0.502,0.722,0.612,Normal
2,14,0.503,0.833,0.668,Normal
2,15,0.500,0.500,0.500,Normal
2,16,0.502,1.000,0.751,Normal
2,17,0.501,1.000,0.750,Normal
2,18,0.501,1.000,0.750,Normal
2,19,0.501,0.500,0.500,Normal
3,0,0.498,0.500,0.499,Malicious
3,1,0.499,1.000,0.749,Malicious
3,2,0.498,0.500,0.499,Malicious
3,3,0.500,1.000,0.750,Malicious
3,4,0.499,1.000,0.750,Malicious
3,5,0.502,1.000,0.751,Normal
